study_id,subject_id,source_database,source_accession,source_url,publication_doi,publication_pmid,intervention_type,probiotic_species,probiotic_strain,number_of_strains,total_CFU_per_day,log10_CFU_per_day,strain_specific_CFU,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,placebo_type
PMID:40066582,needs_manual_extraction,PubMed,40066582,https://pubmed.ncbi.nlm.nih.gov/40066582/,10.20960/nh.05563,40066582,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:39842252,needs_manual_extraction,PubMed,39842252,https://pubmed.ncbi.nlm.nih.gov/39842252/,10.1016/j.clnu.2024.12.031,39842252,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:39981988,needs_manual_extraction,PubMed,39981988,https://pubmed.ncbi.nlm.nih.gov/39981988/,10.1002/mnfr.202400806,39981988,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:40902730,needs_manual_extraction,PubMed,40902730,https://pubmed.ncbi.nlm.nih.gov/40902730/,10.1016/j.tjnut.2025.08.026,40902730,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT06710106,needs_manual_extraction,ClinicalTrials.gov,NCT06710106,https://clinicaltrials.gov/study/NCT06710106,,,prebiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT06305650,needs_manual_extraction,ClinicalTrials.gov,NCT06305650,https://clinicaltrials.gov/study/NCT06305650,,,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT05949255,needs_manual_extraction,ClinicalTrials.gov,NCT05949255,https://clinicaltrials.gov/study/NCT05949255,,,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT06213480,needs_manual_extraction,ClinicalTrials.gov,NCT06213480,https://clinicaltrials.gov/study/NCT06213480,,,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:38072119,needs_manual_extraction,PubMed,38072119,https://europepmc.org/article/MED/38072119,10.1016/j.advnut.2023.100162,38072119,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:39594072,needs_manual_extraction,PubMed,39594072,https://pubmed.ncbi.nlm.nih.gov/39594072/,10.3390/foods13223655,39594072,needs_manual_extraction,Bifidobacterium breve,BBr60,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
