species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier,genome_accession,assembly_level,resolved_organism
Clostridium_aldenense,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0069,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_052361165.1,Contig,Enterocloster aldenensis
Odoribacter_splanchnicus,Odoribacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0067,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_900187175.1,Complete Genome,Odoribacter splanchnicus
Paraprevotella_clara,Paraprevotella,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0062,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_000233955.1,Scaffold,Paraprevotella clara YIT 11840
Butyrivibrio_crossotus,Butyrivibrio,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0061,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025148445.1,Complete Genome,Eshraghiella crossota
Bacteroides_cellulosilyticus,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.006,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_018292125.1,Complete Genome,Bacteroides cellulosilyticus
Desulfovibrio_piger,Desulfovibrio,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0059,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_937907355.1,Contig,Desulfovibrio piger
Mogibacterium_diversum,Mogibacterium,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0058,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_002998925.1,Complete Genome,Mogibacterium diversum
Bacteroides_salyersiae,Bacteroides,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0056,0.0,1.0,1.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_031172035.1,Complete Genome,Bacteroides salyersiae
Clostridium_citroniae,Clostridium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0041,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_040545455.1,Contig,Enterocloster citroniae
Eubacterium_siraeum,Eubacterium,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.004,,,,requires_genome_safety_lbp,screening_only,B_protective_screening,GCA_025150425.1,Complete Genome,[Eubacterium] siraeum
Agathobaculum_butyriciproducens,Agathobaculum,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.003,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_040093675.1,Contig,Agathobaculum butyriciproducens
Intestinibacter_bartlettii,Intestinibacter,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.003,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025148965.1,Complete Genome,Intestinibacter bartlettii
Roseburia_hominis,Roseburia,human_derived_ngp,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,0.0,2.0,0.0,requires_genome_safety_lbp,screening_only,B_protective_screening,GCF_000225345.1,Complete Genome,Roseburia hominis A2-183
Ruminococcus_lactaris,Ruminococcus,human_derived_commensal,obesity_microbiome_signature,depleted_in_obesity_protective,0.0024,,,,requires_genome_safety_review,screening_only,B_protective_screening,GCF_025152405.1,Complete Genome,[Ruminococcus] lactaris ATCC 29176
