run_accession,sample_accession,sample_alias,sample_serial,fastq_ftp,fastq_bytes,collection_date
ERR13915055,SAMEA116333274,2023_0028_0124,0124,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/055/ERR13915055/ERR13915055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/055/ERR13915055/ERR13915055_2.fastq.gz,1523125203;1556928654,2023
ERR13915552,SAMEA116333277,2023_0029_0127,0127,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/052/ERR13915552/ERR13915552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/052/ERR13915552/ERR13915552_2.fastq.gz,1913685937;1985213217,2023
ERR13915554,SAMEA116333278,2023_0029_0128,0128,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/054/ERR13915554/ERR13915554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/054/ERR13915554/ERR13915554_2.fastq.gz,1702092219;1759355702,2023
ERR13915555,SAMEA116333280,2023_0029_0130,0130,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/055/ERR13915555/ERR13915555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/055/ERR13915555/ERR13915555_2.fastq.gz,1600716494;1635461983,2023
ERR13915556,SAMEA116333281,2023_0029_0131,0131,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/056/ERR13915556/ERR13915556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/056/ERR13915556/ERR13915556_2.fastq.gz,1893989627;1972645633,2023
ERR13915558,SAMEA116333283,2023_0029_0133,0133,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/058/ERR13915558/ERR13915558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/058/ERR13915558/ERR13915558_2.fastq.gz,1898375527;1966530865,2023
ERR13915559,SAMEA116333285,2023_0029_0135,0135,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/059/ERR13915559/ERR13915559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/059/ERR13915559/ERR13915559_2.fastq.gz,1872832982;1908938959,2023
ERR13915562,SAMEA116333286,2023_0029_0136,0136,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/062/ERR13915562/ERR13915562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/062/ERR13915562/ERR13915562_2.fastq.gz,2008141466;2066820931,2023
ERR13915563,SAMEA116333287,2023_0029_0137,0137,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/063/ERR13915563/ERR13915563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/063/ERR13915563/ERR13915563_2.fastq.gz,1849094661;1885301602,2023
ERR13915564,SAMEA116333289,2023_0029_0139,0139,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/064/ERR13915564/ERR13915564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/064/ERR13915564/ERR13915564_2.fastq.gz,1855665768;1919675795,2023
ERR13915566,SAMEA116333293,2023_0029_0143,0143,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/066/ERR13915566/ERR13915566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/066/ERR13915566/ERR13915566_2.fastq.gz,2877148863;2986441081,2023
ERR13915567,SAMEA116333294,2023_0029_0144,0144,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/067/ERR13915567/ERR13915567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/067/ERR13915567/ERR13915567_2.fastq.gz,1825628046;1887065639,2023
ERR13915569,SAMEA116333297,2023_0029_0147,0147,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/069/ERR13915569/ERR13915569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/069/ERR13915569/ERR13915569_2.fastq.gz,1593926543;1629808185,2023
ERR13915570,SAMEA116333300,2023_0029_0150,0150,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/070/ERR13915570/ERR13915570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/070/ERR13915570/ERR13915570_2.fastq.gz,1432694984;1469380356,2023
ERR13915573,SAMEA116333302,2023_0029_0152,0152,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/073/ERR13915573/ERR13915573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/073/ERR13915573/ERR13915573_2.fastq.gz,1915783496;1953974168,2023
ERR13915574,SAMEA116333303,2023_0029_0153,0153,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/074/ERR13915574/ERR13915574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/074/ERR13915574/ERR13915574_2.fastq.gz,1507021705;1536209885,2023
ERR13915575,SAMEA116333304,2023_0029_0154,0154,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/075/ERR13915575/ERR13915575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/075/ERR13915575/ERR13915575_2.fastq.gz,1660638503;1706500204,2023
ERR13915577,SAMEA116333307,2023_0029_0157,0157,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/077/ERR13915577/ERR13915577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/077/ERR13915577/ERR13915577_2.fastq.gz,1871995517;1952850580,2023
ERR13915578,SAMEA116333308,2023_0029_0158,0158,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/078/ERR13915578/ERR13915578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/078/ERR13915578/ERR13915578_2.fastq.gz,2903756743;3007756469,2023
ERR13915581,SAMEA116333311,2023_0029_0161,0161,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/081/ERR13915581/ERR13915581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/081/ERR13915581/ERR13915581_2.fastq.gz,1772837471;1838069838,2023
ERR13915582,SAMEA116333313,2023_0029_0163,0163,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/082/ERR13915582/ERR13915582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/082/ERR13915582/ERR13915582_2.fastq.gz,1923350968;1997346677,2023
ERR13915584,SAMEA116333315,2023_0029_0165,0165,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/084/ERR13915584/ERR13915584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/084/ERR13915584/ERR13915584_2.fastq.gz,2086132662;2158334003,2023
ERR13915585,SAMEA116333316,2023_0029_0166,0166,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/085/ERR13915585/ERR13915585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/085/ERR13915585/ERR13915585_2.fastq.gz,1721834722;1794891373,2023
